"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes","KC","QB","417.0","16","26.1"
"2","Saquon Barkley","NYG","RB","385.8","16","24.1"
"3","Christian McCaffrey","CAR","RB","385.5","16","24.1"
"4","Todd Gurley","ATL","RB","372.1","14","26.6"
"5","Matt Ryan","ATL","QB","355.0","16","22.2"
"6","Alvin Kamara","NO","RB","354.2","15","23.6"
"7","Ben Roethlisberger","PIT","QB","342.0","16","21.4"
"8","DeAndre Hopkins","ARI","WR","333.5","16","20.8"
"9","Deshaun Watson","HOU","QB","331.9","16","20.7"
"10","Davante Adams","GB","WR","329.6","15","22.0"
"11","Ezekiel Elliott","DAL","RB","329.2","15","22.0"
"12","Andrew Luck","FA","QB","328.1","16","20.5"
"13","Tyreek Hill","KC","WR","328.0","16","20.5"
"14","Julio Jones","ATL","WR","325.8","16","20.4"
"15","Antonio Brown","FA","WR","323.7","15","21.6"
"16","Michael Thomas","NO","WR","315.5","16","19.7"
"17","Aaron Rodgers","GB","QB","312.5","16","19.5"
"18","Jared Goff","LAR","QB","310.3","16","19.4"
"19","Adam Thielen","MIN","WR","307.3","16","19.2"
"20","Drew Brees","NO","QB","304.8","15","20.3"
"21","Russell Wilson","SEA","QB","299.4","16","18.7"
"22","JuJu Smith-Schuster","PIT","WR","296.9","16","18.6"
"23","Travis Kelce","KC","TE","294.6","16","18.4"
"24","Dak Prescott","DAL","QB","285.7","16","17.9"
"25","Philip Rivers","IND","QB","284.9","16","17.8"
"26","Mike Evans","TB","WR","284.4","16","17.8"
"27","Kirk Cousins","MIN","QB","283.1","16","17.7"
"28","Cam Newton","NE","QB","282.6","14","20.2"
"29","Tom Brady","TB","QB","281.4","16","17.6"
"30","Zach Ertz","PHI","TE","280.3","16","17.5"
"31","James Conner","PIT","RB","280.0","13","21.5"
"32","James White","NE","RB","276.6","16","17.3"
"33","Melvin Gordon","DEN","RB","275.5","12","23.0"
"34","Stefon Diggs","BUF","WR","266.3","15","17.8"
"35","Robert Woods","LAR","WR","265.6","16","16.6"
"36","Mitch Trubisky","CHI","QB","262.9","14","18.8"
"37","Keenan Allen","LAC","WR","260.1","15","17.3"
"38","George Kittle","SF","TE","258.7","16","16.2"
"39","David Johnson","HOU","RB","246.7","16","15.4"
"40","Joe Mixon","CIN","RB","243.4","14","17.4"
"41","Brandin Cooks","HOU","WR","243.2","15","16.2"
"42","Baker Mayfield","CLE","QB","240.0","14","17.1"
"42","Eli Manning","FA","QB","240.0","16","15.0"
"44","T.Y. Hilton","IND","WR","239.0","14","17.1"
"45","Tarik Cohen","CHI","RB","233.9","16","14.6"
"46","Odell Beckham Jr.","CLE","WR","230.4","12","19.2"
"47","Kareem Hunt","CLE","RB","230.2","11","20.9"
"48","Phillip Lindsay","DEN","RB","222.8","15","14.9"
"49","Tyler Lockett","SEA","WR","222.4","16","13.9"
"50","Eric Ebron","PIT","TE","222.2","16","13.9"
"51","Tyler Boyd","CIN","WR","221.1","14","15.8"
"52","Jarvis Landry","CLE","WR","217.1","16","13.6"
"53","Derek Carr","LV","QB","216.8","16","13.6"
"54","Amari Cooper","DAL","WR","215.4","15","14.4"
"55","Case Keenum","CLE","QB","215.0","16","13.4"
"56","Matthew Stafford","DET","QB","212.1","16","13.3"
"57","Josh Allen","BUF","QB","208.1","12","17.3"
"58","Julian Edelman","NE","WR","207.4","12","17.3"
"59","Kenny Golladay","DET","WR","207.1","15","13.8"
"60","Calvin Ridley","ATL","WR","206.8","16","12.9"
"61","Kenyan Drake","ARI","RB","206.2","16","12.9"
"62","Chris Carson","SEA","RB","201.4","14","14.4"
"63","Derrick Henry","TEN","RB","201.3","16","12.6"
"64","Emmanuel Sanders","NO","WR","198.2","12","16.5"
"65","Jameis Winston","NO","QB","196.0","11","17.8"
"66","Nick Chubb","CLE","RB","194.5","16","12.2"
"67","Tevin Coleman","SF","RB","193.6","16","12.1"
"67","Jared Cook","NO","TE","193.6","16","12.1"
"69","Carson Wentz","PHI","QB","193.4","11","17.6"
"70","Chicago Bears","CHI","DST","191.0","16","11.9"
"71","Adrian Peterson","WAS","RB","189.0","16","11.8"
"72","Adam Humphries","TEN","WR","188.7","16","11.8"
"73","Larry Fitzgerald","ARI","WR","185.7","16","11.6"
"74","Alshon Jeffery","PHI","WR","185.3","13","14.3"
"75","Chris Godwin","TB","WR","185.2","16","11.6"
"76","Corey Davis","TEN","WR","183.6","16","11.5"
"77","Golden Tate","NYG","WR","182.9","15","12.2"
"78","Sterling Shepard","NYG","WR","182.5","16","11.4"
"79","Mohamed Sanu","NE","WR","182.4","16","11.4"
"80","Mike Williams","LAC","WR","180.2","16","11.3"
"81","Jordan Howard","MIA","RB","180.0","16","11.3"
"82","Marlon Mack","IND","RB","178.1","12","14.8"
"83","Marcus Mariota","LV","QB","176.0","14","12.6"
"84","Andy Dalton","DAL","QB","174.5","11","15.9"
"85","Dede Westbrook","JAC","WR","173.6","16","10.9"
"86","Blake Bortles","FA","QB","173.3","13","13.3"
"87","T.J. Yeldon","BUF","RB","173.1","14","12.4"
"88","Lamar Miller","NE","RB","172.6","14","12.3"
"89","Aaron Jones","GB","RB","171.5","12","14.3"
"90","Ka'imi Fairbairn","HOU","K","170.0","16","10.6"
"91","Austin Ekeler","LAC","RB","168.8","14","12.1"
"92","Sam Darnold","NYJ","QB","168.4","13","13.0"
"93","Ryan Fitzpatrick","MIA","QB","165.8","8","20.7"
"94","Nelson Agholor","LV","WR","165.4","16","10.3"
"95","Zay Jones","LV","WR","165.2","16","10.3"
"96","Austin Hooper","CLE","TE","163.0","16","10.2"
"97","Matt Breida","MIA","RB","162.5","14","11.6"
"98","Nyheim Hines","IND","RB","160.9","16","10.1"
"99","Dion Lewis","NYG","RB","160.7","16","10.0"
"100","Justin Tucker","BAL","K","160.0","16","10.0"
"101","Lamar Jackson","BAL","QB","157.8","16","9.9"
"102","D.J. Moore","CAR","WR","157.0","16","9.8"
"103","Demaryius Thomas","FA","WR","156.7","15","10.5"
"104","Jordy Nelson","FA","WR","156.7","15","10.5"
"105","Jalen Richard","LV","RB","156.6","16","9.8"
"106","Robby Anderson","CAR","WR","156.4","14","11.2"
"107","Allen Robinson","CHI","WR","153.3","13","11.8"
"108","Dalvin Cook","MIN","RB","152.0","11","13.8"
"109","Taylor Gabriel","FA","WR","151.9","16","9.5"
"110","Kyle Rudolph","MIN","TE","151.4","16","9.5"
"111","DeSean Jackson","PHI","WR","151.3","12","12.6"
"112","Jason Myers","SEA","K","151.0","16","9.4"
"112","Wil Lutz","NO","K","151.0","16","9.4"
"114","Peyton Barber","WAS","RB","150.3","16","9.4"
"115","Cole Beasley","BUF","WR","150.2","16","9.4"
"116","A.J. Green","CIN","WR","149.4","9","16.6"
"117","Trey Burton","IND","TE","147.1","16","9.2"
"118","Los Angeles Rams","LAR","DST","147.0","16","9.2"
"118","Harrison Butker","KC","K","147.0","16","9.2"
"120","Mason Crosby","GB","K","145.0","16","9.1"
"121","Houston Texans","HOU","DST","144.0","16","9.0"
"122","John Brown","BUF","WR","143.9","16","9.0"
"122","David Njoku","CLE","TE","143.9","15","9.6"
"124","Ryan Tannehill","TEN","QB","143.0","11","13.0"
"125","Mark Ingram II","BAL","RB","142.5","12","11.9"
"126","Doug Baldwin","FA","WR","141.8","13","10.9"
"127","Aldrick Rosas","FA","K","141.0","16","8.8"
"128","Isaiah Crowell","FA","RB","140.7","13","10.8"
"129","Kerryon Johnson","DET","RB","139.4","10","13.9"
"130","Sony Michel","NE","RB","139.1","13","10.7"
