Rank,Player,Team,Position,Points,Games,Avg
1,Christian McCaffrey,CAR,RB,471.2,16,29.5
2,Lamar Jackson,BAL,QB,421.7,15,28.1
3,Michael Thomas,NO,WR,374.6,16,23.4
4,Dak Prescott,DAL,QB,348.9,16,21.8
5,Jameis Winston,NO,QB,335.2,16,21
6,Russell Wilson,SEA,QB,333.5,16,20.8
7,Deshaun Watson,HOU,QB,333,15,22.2
8,Aaron Jones,GB,RB,314.8,16,19.7
9,Ezekiel Elliott,DAL,RB,311.7,16,19.5
10,Austin Ekeler,LAC,RB,309,16,19.3
11,Josh Allen,BUF,QB,297.5,16,18.6
12,Kyler Murray,ARI,QB,297.3,16,18.6
13,Derrick Henry,TEN,RB,294.6,15,19.6
14,Dalvin Cook,MIN,RB,292.4,14,20.9
15,Patrick Mahomes,KC,QB,291.9,14,20.9
16,Carson Wentz,PHI,QB,282.9,16,17.7
17,Aaron Rodgers,GB,QB,282.3,16,17.6
18,Matt Ryan,ATL,QB,281.4,15,18.8
19,Chris Godwin,TB,WR,276.1,14,19.7
20,Julio Jones,ATL,WR,274.1,15,18.3
21,Tom Brady,TB,QB,271.6,16,17
22,Cooper Kupp,LAR,WR,270.5,16,16.9
23,DeAndre Hopkins,ARI,WR,269.5,15,18
24,Jared Goff,LAR,QB,263.5,16,16.5
25,Keenan Allen,LAC,WR,261.5,16,16.3
26,Jimmy Garoppolo,SF,QB,260.2,16,16.3
27,Leonard Fournette,JAC,RB,259.4,15,17.3
28,Julian Edelman,NE,WR,256.3,16,16
29,Philip Rivers,IND,QB,255.5,16,16
30,Nick Chubb,CLE,RB,255.2,16,16
31,Allen Robinson,CHI,WR,254.9,16,15.9
32,Ryan Fitzpatrick,MIA,QB,254.7,15,17
33,Travis Kelce,KC,TE,254.3,16,15.9
34,Derek Carr,LV,QB,252.5,16,15.8
35,Kirk Cousins,MIN,QB,250.4,15,16.7
36,Baker Mayfield,CLE,QB,250.3,16,15.6
37,Alvin Kamara,NO,RB,248.5,14,17.8
38,Kenny Golladay,DET,WR,248,16,15.5
39,Amari Cooper,DAL,WR,246.5,16,15.4
40,DeVante Parker,MIA,WR,246.2,16,15.4
41,Saquon Barkley,NYG,RB,244.1,13,18.8
42,Mark Ingram II,BAL,RB,242.5,15,16.2
43,Jarvis Landry,CLE,WR,237.4,16,14.8
44,New England Patriots,NE,DST,236,16,14.8
45,Gardner Minshew II,JAC,QB,235.3,14,16.8
46,Tyler Lockett,SEA,WR,235.2,16,14.7
47,Robert Woods,LAR,WR,232.9,15,15.5
48,Mike Evans,TB,WR,232.7,13,17.9
49,Chris Carson,SEA,RB,232.6,15,15.5
50,D.J. Moore,CAR,WR,230.5,15,15.4
51,Ryan Tannehill,TEN,QB,230.2,12,19.2
52,Drew Brees,NO,QB,228.8,11,20.8
53,Daniel Jones,NYG,QB,226.9,13,17.5
54,D.J. Chark,JAC,WR,225.8,15,15.1
55,Joe Mixon,CIN,RB,225.4,16,14.1
56,Jacoby Brissett,IND,QB,223.7,15,14.9
57,Tyler Boyd,CIN,WR,222.9,16,13.9
58,George Kittle,SF,TE,222.5,14,15.9
59,Courtland Sutton,DEN,WR,222.4,16,13.9
60,Darren Waller,LV,TE,221,16,13.8
61,John Brown,BUF,WR,219.8,15,14.7
62,Todd Gurley,ATL,RB,219.4,15,14.6
63,Miles Sanders,PHI,RB,218.7,16,13.7
64,Andy Dalton,DAL,QB,217.5,13,16.7
65,A.J. Brown,TEN,WR,217.1,16,13.6
66,Zach Ertz,PHI,TE,215.6,15,14.4
67,Le'Veon Bell,NYJ,RB,215,15,14.3
