Christian McCaffrey *+,CAR,23,RB,16,16,142,116,1005,8.7,4,58,28,7.3,62.8,81.7%,7.1,287,1387,15,57,84,4.8,86.7,17.9,403,5.9,2392,19,1
Ezekiel Elliott*,DAL,24,RB,16,16,71,54,420,7.8,2,21,27,3.4,26.3,76.1%,5.9,301,1357,12,78,33,4.5,84.8,18.8,355,5.0,1777,14,3
Nick Chubb*,CLE,24,RB,16,16,49,36,278,7.7,0,13,32,2.3,17.4,73.5%,5.7,298,1494,8,62,88,5.0,93.4,18.6,334,5.3,1772,8,3
Derrick Henry *,TEN,25,RB,15,15,24,18,206,11.4,2,4,75,1.2,13.7,75.0%,8.6,303,1540,16,73,74,5.1,102.7,20.2,321,5.4,1746,18,5
Michael Thomas*+,NOR,26,WR,16,15,185,149,1725,11.6,9,91,49,9.3,107.8,80.5%,9.3,1,-9,0,0,-9,-9.0,-0.6,0.1,150,11.4,1716,9,1
Leonard Fournette ,JAX,24,RB,15,15,100,76,522,6.9,0,23,27,5.1,34.8,76.0%,5.2,265,1152,3,55,81,4.3,76.8,17.7,341,4.9,1674,3,1
Dalvin Cook*,MIN,24,RB,14,14,63,53,519,9.8,0,26,31,3.8,37.1,84.1%,8.2,250,1135,13,60,75,4.5,81.1,17.9,303,5.5,1654,13,4
Aaron Jones,GNB,25,RB,16,16,68,49,474,9.7,3,18,67,3.1,29.6,72.1%,7.0,236,1084,16,55,56,4.6,67.8,14.8,285,5.5,1558,19,3
Austin Ekeler,LAC,24,rb,16,8,108,92,993,10.8,8,42,84,5.8,62.1,85.2%,9.2,132,557,3,32,35,4.2,34.8,8.3,224,6.9,1550,11,3
Chris Carson,SEA,25,RB,15,15,47,37,266,7.2,2,10,21,2.5,17.7,78.7%,5.7,278,1230,7,75,59,4.4,82.0,18.5,315,4.7,1496,9,7
Saquon Barkley,NYG,22,RB,13,13,73,52,438,8.4,2,14,65,4.0,33.7,71.2%,6.0,217,1003,6,45,68,4.6,77.2,16.7,269,5.4,1441,8,1
Joe Mixon,CIN,23,RB,16,15,45,35,287,8.2,3,14,33,2.2,17.9,77.8%,6.4,278,1137,5,56,41,4.1,71.1,17.4,313,4.5,1424,8,0
Julio Jones *,ATL,30,WR,15,15,157,99,1394,14.1,6,77,54,6.6,92.9,63.1%,8.9,2,-3,0,0,1,-1.5,-0.2,0.1,101,13.8,1391,6,1
Chris Godwin*,TAM,23,WR,14,14,121,86,1333,15.5,9,63,71,6.1,95.2,71.1%,11.0,1,8,0,0,8,8.0,0.6,0.1,87,15.4,1341,9,0
Alvin Kamara*,NOR,24,RB,14,9,97,81,533,6.6,1,28,41,5.8,38.1,83.5%,5.5,171,797,5,32,40,4.7,56.9,12.2,252,5.3,1330,6,4
Miles Sanders ,PHI,22,RB,16,11,63,50,509,10.2,3,19,45,3.1,31.8,79.4%,8.1,179,818,3,30,65,4.6,51.1,11.2,229,5.8,1327,6,2
Josh Jacobs,OAK,21,RB,13,13,27,20,166,8.3,0,8,28,1.5,12.8,74.1%,6.1,242,1150,7,53,51,4.8,88.5,18.6,262,5.0,1316,7,1
Mark Ingram*,BAL,30,RB,15,15,29,26,247,9.5,5,16,25,1.7,16.5,89.7%,8.5,202,1018,10,53,53,5.0,67.9,13.5,228,5.5,1265,15,2
Le'Veon Bell,NYJ,27,RB,15,15,78,66,461,7.0,1,20,23,4.4,30.7,84.6%,5.9,245,789,3,36,19,3.2,52.6,16.3,311,4.0,1250,4,1
